lon,lat,pb,proj_ndfi,ctrl_ndfi
-2.8363612683646293,7.593445299228319,-0.023514786915125374,0.13489617869285325,0.15841096560797863
-2.8135108407496574,7.6088791947695,-0.17005027288515054,-0.015449247774903863,0.15460102511024668
-2.8353567462252043,7.629505369415179,0.02221442917203996,0.13471302038308308,0.11249859121104312
-2.838217745658738,7.633998562129594,-0.047457434099459184,0.0725095467021555,0.11996698080161468
-2.8943871657335367,7.580368066485307,-0.038081688883927184,0.07845843338727439,0.11654012227120157
-2.81516107961455,7.599964744941237,-0.008601743088961195,0.16783805605869534,0.17643979914765653
-2.8068782675404687,7.599161629247768,-0.07358857633258477,0.104758942714498,0.17834751904708276
-2.816826800683729,7.604886078745828,-0.0031048476081093207,0.11460345661033426,0.11770830421844358
-2.822141039761172,7.6226120416563425,-0.047231662699456556,0.09376047517757835,0.1409921378770349
-2.8052527825748204,7.601488821326865,-0.050474530524024674,0.1278729885230581,0.17834751904708276
-2.8138674247261446,7.5977406610514,-0.016479672554674474,0.1637564440641049,0.18023611661877936
-2.8134938019667257,7.61916421023187,-0.13877340374428207,-0.008152741889067672,0.1306206618552144
-2.889528116679776,7.569835669110517,-0.04785427771955686,0.1413539556109222,0.18920823333047906
-2.8350628700901774,7.534845512329469,0.06398364459110716,0.1607753886827648,0.09679174409165765
-2.8389510043204935,7.544775894667228,-0.019445856600552563,0.11684465641182487,0.13629051301237743
-2.825832731292332,7.558533520466162,-0.09134750867155671,0.06735077824639633,0.15869828691795304
-2.8457674679941873,7.547476844955066,-0.0940912731431477,0.047404557188192545,0.14149583033134025
-1.7282376137636175,7.515641108249526,0.0542299181520616,0.194997518850357,0.1407676006982954
-1.7519865681132125,7.533676471202575,-0.0983627614903762,0.05779068516183969,0.1561534466522159
-1.757126332010184,7.538309205572169,0.0033874993321466873,0.15954094598436258,0.1561534466522159
-1.7729776818955632,7.526782819499733,-0.04395197102423348,0.11220147562798241,0.1561534466522159
-1.7590084990048074,7.536668880782503,0.025571447200406577,0.18172489385262247,0.1561534466522159
-1.7815868567134703,7.529942884223309,-0.07372037355323026,0.08243307309898563,0.1561534466522159
-1.749966166709069,7.535245276007441,-0.12787184544412517,0.028281601208090715,0.1561534466522159
-1.7605504595754604,7.537230661055521,-0.060262271069986315,0.09589117558222958,0.1561534466522159
-1.764585296097261,7.523417437940553,-0.1227842474440334,0.03336919920818249,0.1561534466522159
-1.7662206743585214,7.5225642783981845,0.05208309565850319,0.20823654231071909,0.1561534466522159
-1.7557413561309216,7.537295727791347,-0.03391452124081912,0.12223892541139678,0.1561534466522159
-1.7638490163110523,7.52903184145259,-0.027671967779328677,0.12848147887288722,0.1561534466522159
-1.7630010232035316,7.532035002027367,-0.027645094765121586,0.1285083518870943,0.1561534466522159
-1.7484878344638413,7.5352151098295534,-0.08948421323839563,0.06666923341382026,0.1561534466522159
-1.7218258580568977,7.526668904790192,-0.05051288138401171,0.09025471931428368,0.1407676006982954
-1.717945576735348,7.515400286090952,-0.04033228618118498,0.10043531451711041,0.1407676006982954
-1.7176285204279809,7.516791175995307,0.036675714765321804,0.1774433154636172,0.1407676006982954
-1.7137982347214507,7.523307880246455,-0.09356545623875334,0.04720214445954204,0.1407676006982954
-1.771481918446525,7.521530576424809,-0.09095397002191748,0.06519947663029842,0.1561534466522159
-1.7155970868919388,7.525127628837839,-0.060210707159788046,0.08055689353850734,0.1407676006982954
-1.7272205229800761,7.515532045453769,-0.07326076038094231,0.06750684031735307,0.1407676006982954
-1.7570444043275393,7.551397584321937,-0.08630348479835603,0.034525088910262854,0.12082857370861888
-1.7474304547577841,7.526882359027787,-0.17395103651006277,-0.01779758985784688,0.1561534466522159
-1.7499401082056043,7.525040944843526,-0.1370809142104077,0.01907253244180819,0.1561534466522159
-1.7471238619388234,7.522039867964679,-0.014194189483793307,0.1419592571684226,0.1561534466522159
-1.7502067624182014,7.532056903458074,-0.060698640493343156,0.09545480615887274,0.1561534466522159
-1.7579316603474822,7.534642936254309,-0.025260812169544983,0.1308926344826709,0.1561534466522159
-1.7469730808846533,7.522862097278159,-0.0848190176803671,0.07133442897184879,0.1561534466522159
-1.7563450904622464,7.533509359332141,-0.06448354438309782,0.09166990226911807,0.1561534466522159
-1.7644434301179595,7.526386295885502,0.007399168388057237,0.16355261504027313,0.1561534466522159
-1.7247035757695846,7.521763681243121,0.020246748739316117,0.1610143494376115,0.1407676006982954
-1.717381721008104,7.5162535259312415,-0.005404771129419894,0.1353628295688755,0.1407676006982954
-1.7158814309375008,7.524177019661723,-0.03646605363209779,0.1043015470661976,0.1407676006982954
-1.7688215922718897,7.518383899525559,-0.0385987306951478,0.1175547159570681,0.1561534466522159
-1.7481976810261743,7.536914168923414,-0.04478663810910942,0.11136680854310647,0.1561534466522159
-1.7479889743070283,7.525352819878729,-0.06736437198568884,0.08878907466652705,0.1561534466522159
-1.7613732470190715,7.5409918193351535,-0.07733697864871261,0.07881646800350328,0.1561534466522159
-1.7483779970693372,7.524774726239275,-0.013213992949568626,0.14293945370264727,0.1561534466522159
-1.7491150508959317,7.524246221118562,-0.1147698037058536,0.0413836429463623,0.1561534466522159
-1.7544122971748983,7.5463582307325625,0.03744047393582409,0.15826904764444297,0.12082857370861888
-1.7493023694408059,7.523137407605996,-0.0719220445356241,0.08423140211659179,0.1561534466522159
-1.7537298616277421,7.5255366220432744,-0.11554369384951857,0.04060975280269732,0.1561534466522159
-1.7605188132604421,7.548352725583412,-0.047939777731876604,0.07288879597674228,0.12082857370861888
-1.7422832829686414,7.5195554781315295,-0.0970785779100494,0.05907486874216649,0.1561534466522159
-1.7481800783413877,7.523141163150572,-0.08453176944057761,0.07162167721163828,0.1561534466522159
-1.7537173146445877,7.530548759180203,-0.08529949443707682,0.07085395221513907,0.1561534466522159
-1.7541101565777166,7.531926489644555,-0.08696862704997527,0.06918481960224063,0.1561534466522159
-1.7476419078843735,7.523689053981549,-0.07328764351408898,0.08286580313812691,0.1561534466522159
-1.7434758072518743,7.5234890162088295,-0.06307392659878094,0.09307952005343495,0.1561534466522159
-1.7520786350334876,7.530909951346646,-0.028271341974615255,0.12788210467760064,0.1561534466522159
-1.7599948195637607,7.549444264162458,-0.03531658425207708,0.0855119894565418,0.12082857370861888
-1.747885421677831,7.522466247587143,-0.046660572773856934,0.10949287387835896,0.1561534466522159
-1.7509466667273548,7.539948811974597,-0.06003713154617732,0.09611631510603857,0.1561534466522159
-1.7637747707055604,7.544833722577347,-0.0023241813479145945,0.11850439236070429,0.12082857370861888
-1.7576258958434898,7.5358014347780164,-0.058393082386669765,0.09776036426554613,0.1561534466522159
-1.7540802287153665,7.5368855192558595,-0.08751996121552863,0.06863348543668726,0.1561534466522159
-1.7571603124532438,7.533161374926996,-0.09891783206312052,0.05723561458909537,0.1561534466522159
-1.7580638423999155,7.536388094309287,-0.05152380351503888,0.10462964313717701,0.1561534466522159
-1.7912382484618652,7.391448200363877,-0.010552287436026209,0.14928189657582683,0.15983418401185304
-1.7618795522020538,7.5363605972303835,-0.06997668098662475,0.08617676566559114,0.1561534466522159
-1.7639433976020342,7.554369768603428,-0.05446484716940339,0.06636372653921549,0.12082857370861888
-1.7705086055718664,7.5529144485396955,-0.03578774207002479,0.08504083163859409,0.12082857370861888
